Array Design Name	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Comment[AdditionalFile:CDF]	HG-U133B.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-34
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-34_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[blocks]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[omim]	Composite Element Database Entry[unigene]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[swall]	Composite Element Database Entry[kegg]	Composite Element Database Entry[ec]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
226840_at	AW291297	226840_at								Hs.288934								
226841_at	T64884	226841_at	ENSG00000172753							Hs.288581		IPR001862	Q8TEF8					
226842_at	AV694039	226842_at								Hs.28893								
226843_s_at	AU146704	226843_s_at			5565689		NM_022447	PAP_assoc	605540	Hs.294030	64282	IPR001201	Q8NDF8					
226844_at	AI375115	226844_at			13376101		NM_024761	Mob1_phocein		Hs.128905	79817	IPR005301	Q9H8V4					
226845_s_at	AL036350	w30211_s_at	ENSG00000172428		20503274		NM_138336			Hs.432892	150678		Q8N110					
226846_at	AL545998	226846_at								Hs.375767			Q96GM4					
226847_at	BF438173	rc_AI103386_at	ENSG00000134363	IPB001999	7242222	d1tgsi_	NM_013409	kazal	136470	Hs.9914	10468	IPR003645	P19883					
226848_at	AI571166	c77199_rc_at		IPB000580	14028877		NM_022497			Hs.23450	64432		P82663					
226849_at	AB046828.1	226849_at	ENSG00000119522		20380729		NM_024820	uDENN		Hs.300842	57706	IPR005113	Q9HCG4					
226850_at	AA683501	226850_at								Hs.350475		IPR005532	Q96AK5					
226851_at	AW612657	163803_r_at	ENSG00000143353	IPB002469	22122621	d1fj2a_	NM_138794	abhydrolase_2		Hs.88201	127018	IPR000379	Q96AV0					
226852_at	AB033092.1	226852_at	ENSG00000057935							Hs.58598	57504	IPR001005	Q9ULF4					
226853_at	AU145366	226853_at								Hs.49303								
226854_at	AV695800	226854_at			7022959	d1egaa1	NM_015666	GTP1_OBG		Hs.340636	26164	IPR006169	Q9UFR4					
226855_at	N50413	226855_at								Hs.36679								
226856_at	BF793701	226856_at								Hs.58210			Q99JI1					
226857_at	AW170520	226857_at			23397469	d1by1a_	NM_153213			Hs.378115	128272		Q99MC4					
226858_at	T51255	96570_at			22122445		NM_024529		607393	Hs.5722	79577		Q9H5L7					
226859_at	AI765321	226859_at								Hs.378780			Q9H1X3					
226860_at	AW572609	109753_at	ENSG00000175074		21361720		NM_018279	DUF92		Hs.7337	55266	IPR002794	Q96HL9					
226861_at	BF223343	226861_at		PR01415	19263876	d1awcb_	NM_024095	ank		Hs.432699	140461	IPR002110	Q9H765					
226862_at	AI205309	163253_at	ENSG00000141644	PR01217	7710143	d1d9na_	NM_015847	zf-CXXC	156535	Hs.6211	4152	IPR002857	Q9UNZ8					
226863_at	AI674565	226863_at								Hs.8379								
226864_at	BF245954	226864_at								Hs.75209								
226865_at	AW130600	226865_at								Hs.99472								
226866_at	BF211488	1424325_at	ENSG00000141446							Hs.290931	114799		Q96PX7					
226867_at	AI758191	226867_at	ENSG00000137145		21740339		NM_017925			Hs.29032	55667		Q9NWQ5					
226868_at	BF977231	226868_at								Hs.259347			AAH39145					
226869_at	AI655611	226869_at								Hs.124863								
226870_at	AI924025	226870_at			21389377	d1vid__	NM_144589	Methyltransf_3		Hs.355333	118881	IPR000051	Q8TE79		2.1.1.104			
226871_s_at	BF791801	226871_s_at	ENSG00000130734		23956380		NM_032885	Peptidase_C54		Hs.104938	84971	IPR005078	Q969K0					
226872_at	AK024288.1	226872_at	ENSG00000087903	IPB003150	19743881	d1dp7p_	NM_134433	RFX_DNA_binding	142765	Hs.100007	5990	IPR003150	RFX3_MOUSE					
226873_at	AI631210	226873_at								Hs.108887								
226874_at	BF591270	226874_at	ENSG00000145332							Hs.107279	57563	IPR001798	Q9UI48					
226875_at	AI742838	226875_at			21389541		NM_144658			Hs.107513	139818		Q8WX11					
226876_at	AI961778	226876_at								Hs.375195			Q9DB69					
226877_at	AL117606.1	226877_at								Hs.117920			Q8WVT7					
226878_at	AL581873	226878_at								Hs.11135								
226879_at	AW406569	226879_at	ENSG00000122986		16307283		NM_032369			Hs.334637	84329	IPR005820	Q96D96					
226880_at	AL035851	rc_AI070561_f_at	ENSG00000069275	IPB001990	13631947		NM_022731			Hs.118064	64710		Q9H1E3					
226881_at	BF185904	102761_at	ENSG00000164284		22748863		NM_152407			Hs.17121	134266	IPR000740	Q8TAA5					
226882_x_at	AI861913	226882_x_at	ENSG00000160193		8249453		NM_033662	WD40	605924	Hs.143638	10785	IPR001680	Q9BVM5					
226883_at	T89044	226883_at								Hs.13268								
226884_at	N71874	D45913_s_at	ENSG00000173476		7959255	d1epfa1	NM_020873	ig		Hs.126085	57633	IPR000483	Q9UI48					
226885_at	AI743880	226885_at								Hs.12876								
226886_at	AF131846.1	226886_at	ENSG00000169589							Hs.24723			Q8WYR5					
226887_at	AL138384	226887_at	ENSG00000174112	IPB002821	7672784	d1hjoa1	NM_016299	HSP70		Hs.44581	51182	IPR000169	Q8TAQ0					
226888_at	BG104860	226888_at								Hs.15936								
226889_at	AW088668	226889_at	ENSG00000118965		22477171		NM_020779	WD40		Hs.145365	57539		Q9P2L0					
226890_at	AW088668	226890_at	ENSG00000118965		22477171		NM_020779	WD40		Hs.145365	57539		Q9CUL7					
226891_at	AI467947	226891_at			22761774	d1ga8a_	NM_152531	Glyco_transf_8		Hs.150614	152002	IPR002495	Q96ME0		2.4.1.186			
226892_at	AK025166.1	226892_at								Hs.14555								
226893_at	AW173164	1456092_at			20845449	d1exbe_	NM_153033	K_tetra		Hs.290825	154881							
226894_at	BE501976	226894_at								Hs.28803								
226895_at	AW134798	226895_at								Hs.433880								
226896_at	AI992290	226896_at								Hs.181174			Q9CQA6					
226897_s_at	AW169959	226897_s_at		IPB000822	22122351		NM_014153	zf-CCCH		Hs.179898	29066	IPR000822	Q9NXC8					
226898_s_at	AI439021	aa690583_g_at	ENSG00000116560	IPB002000	4826998		NM_005066	rrm	605199	Hs.180610	6421	IPR002965	P23246					
226899_at	AK022859.1	226899_at			24710917		NM_170744	tsp_1		Hs.183918	219699	IPR000906	AAM95701					
226900_at	AI127903	226900_at	ENSG00000140283	IPB000885	8922198		NM_017976			Hs.181202	55056		Q9NWG6					
226901_at	AI214996	226901_at								Hs.90790								
226902_at	BF109140	226902_at								Hs.296326								
226903_s_at	AI820043	Msa.19379.0_s_at	ENSG00000130821	IPB000175	5032097		NM_005629	SNF	300036	Hs.187958	6535	IPR002984	Q13032					
226904_at	AI820043	aa230405_s_at	ENSG00000130821	IPB000175	5032097		NM_005629	SNF	300036	Hs.187958	6535	IPR002984	Q13032					
226905_at	BG036514	226905_at								Hs.345588			Q9P191					
226906_s_at	AL548053	226906_s_at	ENSG00000123329	PR00452	14245732	d2ngrb_	NM_032496	PH		Hs.19807	64333	IPR001849	Q8WYR0					
226907_at	N32557	rc_AI044747_at	ENSG00000111986		19311006		NM_030949			Hs.192822	81706		Q8TAE6					
226908_at	AI627704	226908_at			24233577	d1cvsc1	NM_153377	ig		Hs.19669	121227		Q8NC72					
226909_at	AW270138	226909_at	ENSG00000170785							Hs.7560	85460	IPR005613	Q96LN8					
226910_at	AW008502	226910_at								Hs.432729								
226911_at	BF114725	226911_at			22748857	d1cfb_1	NM_152403	fn3		Hs.20103	133584		Q8N7Y0					
226912_at	AW003367	226912_at								Hs.21902			AAH35230					
226913_s_at	BF527050	226913_s_at	ENSG00000005513	IPB000135	10720294	d1i11a_	NM_014587	HMG_box	605923	Hs.243678	30812	IPR000910	Q9H7I9					
226914_at	AU158936	226914_at								Hs.234174			Q96FS0					
226915_s_at	AU158936	226915_s_at								Hs.234174			Q9UI50					
226916_x_at	AW190431	226916_x_at	ENSG00000142002	PR00862	23595181	d1qfma2	NM_139159	Peptidase_S9		Hs.237617	91039	IPR002469	Q9H3B5		3.4.21.83			
226917_s_at	AA604393	226917_s_at			7019329		NM_013367		606947	Hs.273391	29945		Q9NSH6					
226918_at	BF513474	226918_at	ENSG00000092051							Hs.26714	84502	IPR003409	Q96JJ6					
226919_at	AA447709	226919_at			10092689		NM_020466			Hs.268115	57226		Q9NU23					
226920_at	AW592437	rc_AI235291_at		IPB000959	2134872	d1csn__	NM_018548	pkinase	600505	Hs.283738	1452	IPR002290	Q9ZWB3		2.7.1	CKIa		
226921_at	AV715153	226921_at								Hs.28113								
226922_at	BF215302	226922_at	ENSG00000153201	IPB002130	6382079	d2cpl__	NM_006267	zf-RanBP	601181	Hs.199179	5903	IPR001876	Q13073					
226923_at	AW205790	226923_at			22749127		NM_152540			Hs.48565	152579	IPR001619	Q8WU76					
226924_at	AI016355	226924_at								Hs.61508								
226925_at	AW069729	226925_at			20893497	d1dkla_	NM_152282	acid_phosphat		Hs.37443	92370	IPR000560	AAH35834		3.1.3.2			
226926_at	AA706316	226926_at	ENSG00000161249		15277323		NM_033317			Hs.32343	93099		Q96EW8					
226927_at	AA287457	226927_at								Hs.42547								
226928_x_at	BE677761	1417750_a_at			8924028		NM_018579			Hs.283716	51312	IPR001993	Q9P1J9					
226929_at	AA524272	226929_at								Hs.152547			Q9H6G8					
226930_at	AI345957	93443_at	ENSG00000164694							Hs.334838	84624		Q96JG1					
226931_at	AU151239	226931_at								Hs.401954								
226932_at	AW467136	226932_at								Hs.90286								
226933_s_at	AV646610	1423260_at	ENSG00000172201	PR00308	7448084		NM_001546	HLH	600581	Hs.34853	3400	IPR001092	P47928					
226934_at	AU149663	226934_at								Hs.34804								
226935_s_at	T63497	226935_s_at	ENSG00000049656		21359965		NM_030782			Hs.323769	81037		Q96AZ0					
226936_at	BG492359	226936_at								Hs.35962								
226937_at	BF110844	226937_at								Hs.3569	54675	IPR000462	Q9UJA2					
226938_at	AA160604	226938_at			24308101		NM_015604	WD40		Hs.6107	26094	IPR001199	Q96K22					
226939_at	AI202327	226939_at								Hs.44833								
226940_at	AI830098	AA028426_at			22748891		NM_152421			Hs.351871	138311		Q99ML4					
226941_at	BF439325	226941_at								Hs.40328								
226942_at	AI742668	226942_at	ENSG00000104406		14149900		NM_032205			Hs.44159	84165		Q9H702					
226943_at	AA287457	226943_at								Hs.42547								
226944_at	AW518728	AA688835_at			20475927	d1agja_	NM_053044	trypsin		Hs.60440	94031	IPR002350	P83110		3.4.21.19			
226945_at	AI356895	226945_at			14150023		NM_032276			Hs.49359	84236	IPR002610	Q9H057					
226946_at	AI453203	1437287_at			17442885		NM_153013			Hs.81907	133686		Q96NM0					
226947_at	AW001628	226947_at								Hs.56406								
226948_at	AI356895	226948_at			14150023		NM_032276			Hs.49359	84236	IPR002610	Q9H057					
226949_at	N25563	226949_at	ENSG00000090615	IPB002151	5174441		NM_005895		602581	Hs.4953	2802	IPR005613	Q8WZA3					
226950_at	T63524	226950_at								Hs.8881								
226951_at	AI741415	226951_at								Hs.70258								
226952_at	AU149385	226952_at								Hs.63131								
226953_at	NM_021189.1	226953_at		IPB003006	15636798		NM_021189	ig		Hs.6164	57863	IPR003600	Q9UJP1					
226954_at	BE221883	aa260736_s_at	ENSG00000107341	IPB000135	1381181	d2ucz__	NM_017811	UQ_con		Hs.11184	54926	IPR000608	CAC80336		6.3.2.19			
226955_at	H28999	226955_at	ENSG00000157510							Hs.64313	134265	IPR001849	Q8N9Q4					
226956_at	AW025389	226956_at	ENSG00000167060							Hs.6674			Q96MI5					
226957_x_at	BF433757	1368217_at	ENSG00000017797	IPB000198	6677751	d2ngrb_	NM_006788	RhoGAP	605801	Hs.75447	10928	IPR000198	Q15311					
226958_s_at	AL531790	226958_s_at	ENSG00000161920							Hs.423650			Q9D8C6					
226959_at	AL137430.1	226959_at								Hs.380965			Q96HL9					
226960_at	AW471176	226960_at	ENSG00000104814	PR01217	6005810	d1f3mc_	NM_007181	pkinase	601983	Hs.95424	11184	IPR002290	Q92918		2.7.1.38	STE20		
226961_at	AI347918	226961_at								Hs.91109			AAH29131					
226962_at	AW299558	226962_at								Hs.8934								
226963_at	AI380378	96351_at	ENSG00000134717							Hs.93748	91408	IPR002715	Q96K17					
226964_at	BG289838	226964_at	ENSG00000128881							Hs.125836	26044		O94932					
226965_at	BF438017	226965_at	ENSG00000174839							Hs.373580	201627		Q8TEG8					
226966_at	BF108696	226966_at								Hs.33104	25766	IPR002713	Q9WVC9					
226967_at	BG231981	226967_at	ENSG00000105066	IPB000885	14249548		NM_032836	zf-C2H2		Hs.129888	84922	IPR000822	Q96SL8					
226968_at	AK023184.1	115895_at	ENSG00000054523	IPB002889	17377940	d1goja_	NM_015074	kinesin	605995	Hs.375193	23095	IPR001849	Q9WV64					
226969_at	AV706396	226969_at								Hs.33264			Q96B84					
226970_at	AI690694	226970_at								Hs.324342			Q8VE08					
226971_at	AI678057	1424699_at	ENSG00000128596							Hs.7973	64753	IPR001395	Q9H8M3					
226972_s_at	AI678057	226972_s_at	ENSG00000128596							Hs.7973	64753	IPR001395	Q8NCT4					
226973_at	AA206763	226973_at	ENSG00000132821	PR00049	21740114		NM_080607	ig		Hs.7991	128434	IPR003006	Q96N03					
226974_at	AL536553	226974_at	ENSG00000167004	IPB000063	23271997	d2trxa_	NM_005313	thiored	602046	Hs.13751	2923	IPR005792	Q9P191		5.3.4.1			
226975_at	AL137730.1	226975_at								Hs.14235	55599	IPR000504	Q9H6G8					
226976_at	D55880	92405_at	ENSG00000025800	IPB000225	6912478	d1jdha_	NM_012316	IBB		Hs.301553	23633	IPR002652	O60684					
226977_at	N26029	226977_at								Hs.293782			Q8WWG3					
226978_at	AA910945	226978_at								Hs.286014								
226979_at	AI125541	U43186_s_at	ENSG00000169967	IPB003605	7542557	d1f3mc_	NM_006609	pkinase		Hs.28827	10746	IPR001245	Q9NYK3		2.7.1.38	NPK1		
226980_at	AK001166.1	226980_at			23510331		NM_018369	DEP		Hs.23495	55789	IPR000591	AAN31126					
226981_at	AW002079	226981_at								Hs.380349								
226982_at	AI745624	AA414990_rc_g_at	ENSG00000118985	PR01217	6912354		NM_012081		601874	Hs.98124	22936		AAH28412					
226983_at	AA626717	226983_at			6331377		NM_015694	zf-C2H2		Hs.119175	27153	IPR001909	Q8N659					
226984_at	H09596	226984_at			23271579	d1by1a_	NM_152536	RhoGEF		Hs.350996	152273		Q9NUR8					
226985_at	H09596	226985_at			23271579	d1by1a_	NM_152536	RhoGEF		Hs.350996	152273		Q9NUR8					
226986_at	AA933779	aa545236_g_at	ENSG00000157954		7706294		NM_016003			Hs.226372	26100	IPR001680	Q9Y364					
226987_at	W68720	226987_at			7110645		NM_013286			Hs.84162	29890		Q13722					
226988_s_at	AI709055	AA688923_at	ENSG00000169101	IPB001322	13376044	d1fioa_	NM_024729	Myosin_tail		Hs.115412	79784	IPR002928	Q96I22					
226989_at	BE855765	226989_at								Hs.108972								
226990_at	AI798775	226990_at								Hs.422943								
226991_at	AA489681	226991_at								Hs.356321								
226992_at	AK002203.1	226992_at	ENSG00000163072	PR00498	20840289	d4gbqa_	NM_052946	SH3	607496	Hs.10260	115677	IPR000108	Q96CJ9					
226993_at	AA973551	226993_at								Hs.54310								
226994_at	AW057513	rc_AI170685_at	ENSG00000069345	IPB001623	9789937	d1hdj__	NM_005880	DnaJ_CXXCXGXG		Hs.21189	10294	IPR003095	Q9P1B8					
226995_at	AV705934	226995_at			22067345		NM_153454			Hs.375122	257103		P59089					
226996_at	AV717041	226996_at								Hs.14355								
226997_at	W74476	226997_at								Hs.12680								
226998_at	AL556909	226998_at	ENSG00000164134		22035307	d1fcha_	NM_057175	TPR		Hs.125034	80155	IPR001440	Q9H8P6					
226999_at	AL137730.1	226999_at								Hs.14235	55599	IPR000504	Q9NXX2					
227000_at	BE855778	227000_at			23618863		NM_152793			Hs.7913	222166		Q8NEX2					
227001_at	AI096706	227001_at								Hs.167011			Q9UI50					
227002_at	BF515132	227002_at	ENSG00000126882							Hs.143878	89854		Q8N2W3					
227003_at	BG150494	rc_AA893673_s_at	ENSG00000157869	PR00318	4758994	d1i2ma_	NM_004249	ras		Hs.404189	9364	IPR005225	AAH35054					
227004_at	AI611074	227004_at								Hs.355920								
227005_at	BF439230	1423060_at	ENSG00000170515	IPB002467	5453842	d1c22a_	NM_006191	Peptidase_M24	602145	Hs.374491	5036	IPR002468	Q9UQ80		3.4.11.18			
227006_at	AA156998	rc_AI007768_at	ENSG00000167641		2570154		NM_033256			Hs.348037	94274		Q9D1Q0					
227007_at	AI972419	227007_at								Hs.379377								
227008_at	AI393309	227008_at								Hs.349979			Q9D114					
227009_at	AK025253.1	227009_at								Hs.430300								
227010_at	BF438330	227010_at								Hs.182469								
227011_at	BF055126	227011_at	ENSG00000171161	IPB001275	20880742		NM_024836	zf-C2H2		Hs.181406	79894	IPR000822	P97661					
227012_at	AI823986	227012_at								Hs.208414								
227013_at	AI535735	227013_at								Hs.432314								
227014_at	NM_020437.1	227014_at			23603465		NM_020437			Hs.184390	57168		Q9CUZ2		1.14.11.16			
227015_at	NM_020437.1	164165_at			23603465		NM_020437			Hs.184390	57168		Q9CUZ2		1.14.11.16			
227016_at	AA767385	227016_at								Hs.377879			Q9P063					
227017_at	AA767385	227017_at								Hs.406115			Q9P063					
227018_at	AV734194	227018_at								Hs.319095								
227019_at	AA129774	227019_at								Hs.288905								
227020_at	BE502982	227020_at								Hs.24133								
227021_at	BE348688	227021_at			23308565	d1i8ta1	NM_153042	Amino_oxidase		Hs.237691	221656		Q8NB78		1.5.99.10			
227022_at	AI817388	227022_at	ENSG00000163281	IPB000457	19923881	d1fs5a_	NM_138335	Glucosamine_iso		Hs.21398	132789	IPR006148	Q96NC6		5.3.1.10			
227023_at	AI570458	166968_f_at		IPB001275	87507		NM_138465	zf-C2H2	165280	Hs.239451	2738	IPR000822	P97674					
227024_s_at	BE672196	227024_s_at								Hs.63236								
227025_at	BG284497	227025_at	ENSG00000134283		21724160		NM_016488			Hs.281428	51535	IPR002048	Q9P0R9					
227026_at	AI016714	227026_at	ENSG00000083771							Hs.244482	54737	IPR002110	Q99549					
227027_at	AI268315	227027_at	ENSG00000169589							Hs.24723			Q8WYR5					
227028_s_at	AA534295	100142_at	ENSG00000070413	IPB001007	4826694	d1ajj__	NM_005137	lectin_c	600594	Hs.2491	9993	IPR001304	P98153					
227029_at	AI949662	227029_at								Hs.356733			Q8WUD5					
227030_at	BG231773	227030_at								Hs.318893								
227031_at	AV681975	227031_at								Hs.29468								
227032_at	AI694545	227032_at			20532726		NM_153014			Hs.350065	148697		Q96DQ4					
227033_at	AI825800	227033_at	ENSG00000167004	IPB000063	23271997	d2trxa_	NM_005313	thiored	602046	Hs.13751	2923	IPR005792	P30101		5.3.4.1			
227034_at	BE669553	227034_at								Hs.28917								
227035_x_at	BE670798	227035_x_at	ENSG00000164610							Hs.292057			Q9BZU6					
227036_at	N66622	227036_at	ENSG00000162489							Hs.29131	57540	IPR003392	Q9UJD7					
227037_at	AA029500	227037_at								Hs.31652	201164		Q8N7H7					
227038_at	AI963083	227038_at			21312748		NM_152621			Hs.353519	166929		Q8NHU3					
227039_at	AI674926	227039_at	ENSG00000170776	IPB002219	21493031	d1by1a_	NM_144767	RhoGEF	604686	Hs.301946	11214	IPR002219	Q9HA97					
227040_at	AI655763	227040_at								Hs.356618								
227041_at	BE466145	227041_at								Hs.30977								
227042_at	BE218514	227042_at								Hs.355952								
227043_at	AI188435	227043_at								Hs.355841								
227044_at	AV705507	227044_at								Hs.40696								
227045_at	AI087872	227045_at								Hs.426228								
227046_at	BF062384	1424905_a_at	ENSG00000133195		21754438		NM_139177	Zip		Hs.3402	201266	IPR003689	Q8WZ81					
227047_x_at	N63748	227047_x_at	ENSG00000174282							Hs.35096	57659	IPR000822	Q9P1Z0					
227048_at	AI990816	227048_at							150320	Hs.48659	3907	IPR002049	P25391					
227049_at	N21127	227049_at	ENSG00000166543				NM_138478			Hs.48821	147632		Q96FJ6					
227050_at	AI928518	92500_at	ENSG00000109716							Hs.41793	55714	IPR001258	Q9W7R3					
227051_at	AU157716	227051_at								Hs.43047			Q96ID7					
227052_at	AI810669	227052_at								Hs.44829			Q9H9H0					
227053_at	N47315	227053_at			20555436	d4gbqa_	NM_020804	SH3	606512	Hs.6462	29993	IPR001452	Q9QY20					
227054_at	AI141584	w58929_s_at	ENSG00000172458		21779851	d1jpya_	NM_138284			Hs.32450	53342	IPR002052	Q9CQR0					
227055_at	AI827972	227055_at			20477424	d1im8a_	NM_152637			Hs.51483	196410	IPR001601	Q9UHZ7		2.1.1.17			
227056_at	AA181172	227056_at	ENSG00000081791		7661940		NM_014773			Hs.63510	9812	IPR001440	Q14154					
227057_at	AI814329	227057_at								Hs.60659			Q8N2Y9					
227058_at	AW084730	227058_at			21361886		NM_032849			Hs.62905	84935		Q9CU47					
227059_at	AI651255	rc_AI236565_at	ENSG00000122034	IPB000822	4753159		NM_002097	zf-C2H2	600860	Hs.75113	2971	IPR000822	Q92664					
227060_at	AW571669	227060_at	ENSG00000054967		21361873		NM_152222			Hs.79707	84957	IPR001368	Q9BUX7					
227061_at	AI088063	227061_at								Hs.86538								
227062_at	AU155361	227062_at		IPB003134	4505877	d1bkra_	NM_000445	Plectin	601282	Hs.79706	5339	IPR002017	Q15149					
227063_at	BF975929	227063_at			22070169		NM_152766	DUF423		Hs.94316	254863		Q8N2U0					
227064_at	AV712687	227064_at								Hs.351247								
227065_at	AA523105	227065_at	ENSG00000011275	IPB002867	22062484		NM_019011			Hs.86228	54476	IPR001841	Q9NWF9					
227066_at	BG167841	227066_at			21687064		NM_145279	Mob1_phocein		Hs.97927	148932	IPR005301	Q8TC45					
227067_x_at	AW024960	M93661_at	ENSG00000134250	IPB003886	24041035	d1ihba_	NM_024408	notch	600275	Hs.8121	4853	IPR000742	Q9UFD5		3.4.24.18			
227068_at	AA069778	Msa.37855.0_s_at	ENSG00000102144	PR00419	4505763	d1hdia_	NM_000291	PGK	311800	Hs.78771	5230	IPR001576	P00558	MAP00710	2.7.2.3			
227069_at	AA806989	227069_at								Hs.349568								
227070_at	W63754	227070_at	ENSG00000120820	IPB002495	14041907	d1ga8a_	NM_031302	Glyco_transf_8		Hs.159993	83468	IPR002495	Q9H1C3		2.4.1.58			
227071_at	AI762558	1436081_a_at	ENSG00000133250	IPB000840	14150191		NM_032370	zf-C2H2		Hs.332563	84330	IPR002965	Q96IQ9					
227072_at	BG167480	227072_at	ENSG00000133309							Hs.31931	25914		Q96IN9					
227073_at	N50665	227073_at								Hs.356595								
227074_at	AA524669	227074_at								Hs.283643								
227075_at	AI949204	95717_at	ENSG00000134014	IPB003401	23510283		NM_018091	Radical_SAM		Hs.267905	55140	IPR005910	Q9NVZ1		2.8.1.6			
227076_at	AI719545	116232_at	ENSG00000130489	IPB003782	8134662	d1e2ya_	NM_005138	SCO1-SenC	604272	Hs.278431	9997	IPR003782	O43819					
227077_at	BF432238	227077_at								Hs.22216								
227078_at	BF222855	227078_at								Hs.58210								
227079_at	AI632523	111988_g_at		IPB003029	4826690	d1go3e_	NM_004941	helicase_C	600396	Hs.171872	1659	IPR001410	Q14562		2.7.7.8			
227080_at	AW003092	227080_at								Hs.381105		IPR002136	P36578					
227081_at	AW299538	167796_f_at			4505543		NM_003462		602135	Hs.406050	7802		O14645					
227082_at	AL110204.1	227082_at								Hs.193784								
227083_at	AI569766	227083_at								Hs.13205								
227084_at	AW339310	x95226_s_at		IPB000433	4929247	d1eg3a1	NM_032981	ZZ	601239	Hs.336678	1837	IPR000345	Q9BS59					
227085_at	AI823792	aa285607_s_at	ENSG00000105968	IPB002119	7439667	d1f66c_	NM_012412	histone		Hs.301005	94239		AAH14885					
227086_at	AA194312	227086_at								Hs.380069								
227087_at	AA126419	227087_at								Hs.379860								
227088_at	BF221547	227088_at								Hs.16578								
227089_at	BF590980	U09551_at	ENSG00000105856		21361411	d1i11a_	NM_012257	HMG_box		Hs.10882	26959	IPR000910	Q8TBM1					
227090_at	AA194264	227090_at								Hs.104888								
227091_at	AB040938.1	227091_at	ENSG00000135205							Hs.113940	57639		Q9P223					
227092_at	AI341383	227092_at								Hs.356690								
227093_at	AU152298	114473_at	ENSG00000055483	IPB001394	7023072		NM_025090	UCH-2		Hs.11387	57602	IPR003006	Q9NVC8		2.4.2.29			
227094_at	AI934407	227094_at								Hs.381224								
227095_at	AU151151	227095_at								Hs.11493								
227096_at	AI218850	aa240803_s_at	ENSG00000161677	PR01233	13384740		NM_138334	Josephin		Hs.116708	126119	IPR006155	Q9CR30					
227097_at	AF218032.1	227097_at								Hs.160422		IPR000822	Q9HBN0					
227098_at	BC004110.1	114127_at			22068664	d1mkp__	NM_152511	DSPc		Hs.128782	150290	IPR000387	Q9Y346					
227099_s_at	AW276078	227099_s_at								Hs.127824								
227100_at	AI569766	227100_at								Hs.13205								
227101_at	AF218032.1	227101_at								Hs.160422		IPR000822	Q9HBN0					
227102_at	AA115933	227102_at			5689533		NM_015066	zf-C3HC4		Hs.137732	23087	IPR003879	Q8WVA4					
227103_s_at	BE646208	227103_s_at	ENSG00000145194		14150112		NM_032331			Hs.146161	84291	IPR000051	Q9D8Q9		2.1.1.17			
227104_x_at	AF218032.1	227104_x_at								Hs.160422		IPR000822	Q9HBN0					
227105_at	AI400587	227105_at	ENSG00000104218		10438900		NM_024790			Hs.153746	79848		Q8TBC1					
227106_at	AW139191	227106_at		IPB001818	13027794	d1slm_1	NM_022791	hemopexin	601807	Hs.154057	4327	IPR006026	Q99542		3.4.24.12			
227107_at	AI807404	227107_at								Hs.32163								
227108_at	AB037721.1	227108_at	ENSG00000159433							Hs.173871	57519	IPR002913	Q9UF70					
227109_at	AV700558	227109_at								Hs.16846								
227110_at	AA126793	160199_at	ENSG00000092199		4758544		NM_031314	rrm	164020	Hs.406125	3183	IPR000504	P07910					
227111_at	BG179317	227111_at								Hs.177633			Q8N674					
227112_at	AW270037	104869_at								Hs.362996	23023		Q8N4H2					
