Accession	Time course	Time pt.s	Title	Type	Organism	Assays	Released	Processed	Raw	Views	Atlas
E-MEXP-1243	Over months	0	Transcription profiling by array of human prostate from patients with a previous diagnosis of Prostatic Intraepithelial Neoplasia and following consumption of high glucosinolate broccoli or peas to investigate interactions with the GSTM1 genotype	transcriptionprofiling by array	Homo sapiens	81	16/07/2008	-		549	-
E-GEOD-6364	N/A	0	Transcription profiling of human endometrium from patients with a history of endometriosis vs. normal controls sampled at a range of menstrual cycle timepoints	transcriptionprofiling by array	Homo sapiens	37	9/4/2008			419	
E-GEOD-5264	Different days	0	Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation	transcriptionprofiling by array	Homo sapiens	30	11/11/2007			201	-
E-GEOD-6462	Few minutes	0	Transcription profiling by array of human MCF7 cells after treatment with epidermal growth factor or heregulin	transcriptionprofiling by array	Homo sapiens	57	1/11/2007			260	-
E-MEXP-1216	Different days	0	Transcription profiling of human adipose derived stem cells before induction and at two time points after induction of differentiation	transcriptionprofiling by array	Homo sapiens	65	10/10/2007			426	-
E-GEOD-974	Different days	0	Transcription profiling of human left ventricular apex samples	transcriptionprofiling by array	Homo sapiens	37	2/10/2007			264	-
E-MEXP-1220	N/A	0	Transcription profiling by array of human T24 bladder cancer cells in response to hypericin-mediated photodynamic therapy in the absence or presence of the p38 MAPK inhibitor PD169316	transcriptionprofiling by array	Homo sapiens	16	1/10/2007			166	
E-GEOD-1880	Few minutes	0	Transcription profiling of LANA induction in human Burkitts lymphoma cell line, KSHV latent infection in lymphoma and endothelial cell lines	transcriptionprofiling by array	Homo sapiens	23	25/08/2007			219	-
E-GEOD-1295	Different days	0	Transcription profiling by array of human skeletal muscle from patients with metabolic syndrome after exercise	transcriptionprofiling by array	Homo sapiens	32	2/8/2007			198	-
E-GEOD-1140	N/A	0	Transcription profiling of human peripheral blood mononuclear cells before and after exercise	transcriptionprofiling by array	Homo sapiens	15	21/07/2007			283	-
E-MEXP-1006	Different days	0	Transcription profiling time series of finite life span and immortal non-malignant human mammary epithelial cell lines	transcriptionprofiling by array	Homo sapiens	12	15/03/2007			546	-
E-SMDB-2956	N/A	0	Transcription profiling of hemorrhagic smallpox in cynomolgus macaques	transcriptionprofiling by array	Homo sapiens	167	7/11/2005			168	-
E-MEXP-69	"3 time points"	0	Transcription profiling of infection of EBV B cells with either p53 or wild type MVA at 3 time points	transcriptionprofiling by array	Homo sapiens	18	5/5/2004	-		126	-
